Freq,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
a,"	",213,157,435,"	",57,160,19,712,12,125,518,180,1518,3,97,"	",689,876,1126,75,161,75,4,257,5
b,79,65,"	","	1",501,"	","	","	",92,7,"	",105,1,"	",199,"	","	",57,28,8,165,"	","	","	",71,"	"
c,240,"	",16,"	",700,"	","	",425,29,"	",176,65,"	","	",306,"	","	",105,1,74,101,"	","	","	","	8","	"
d,70,1,"	",62,436,10,31,1,206,1,"	",61,"	",52,350,"	","	",80,85,"	",15,17,3,"	",43,"	"
e,753,11,127,926,479,71,121,32,92,"	",14,435,253,922,28,140,"	",1780,563,314,1,181,43,99,210,14
f,103,"	","	","	",147,120,"	","	",147,"	","	",34,"	","	",291,"	","	",77,"	",74,93,"	","	","	","	4","	"
g,213,"	","	","	",281,"	",16,308,79,"	","	",60,"	",12,194,1,"	",146,62,2,44,"	","	","	","	1",1
h,1014,4,"	","	1",3706,1,"	","	",764,"	","	","	4",4,3,522,"	","	",80,4,224,54,"	","	","	",44,"	"
i,30,14,594,683,191,142,207,"	","	","	",97,305,216,1999,171,17,"	",213,560,1246,2,59,"	","	8","	",26
j,5,"	","	1","	",20,"	","	","	","	","	","	","	","	","	",17,"	","	","	","	","	",95,"	","	","	","	","	"
k,8,"	","	","	",361,"	","	","	",148,"	","	",22,"	",128,"	","	","	","	1",18,"	","	1","	","	","	","	9","	"
l,299,4,1,323,710,144,1,"	",840,"	",59,671,8,"	",304,12,"	","	4",43,48,12,12,15,"	",436,"	"
m,243,61,"	","	",567,10,"	","	",161,"	","	","	1",15,15,224,74,"	","	",25,"	",120,"	","	","	",62,"	"
n,88,"	",176,1263,535,19,1135,2,157,3,104,87,"	",50,481,2,6,2,127,455,53,19,5,17,87,"	"
o,16,38,95,96,45,594,37,10,120,"	",207,164,280,1031,441,103,11,667,122,411,1515,84,535,11,11,2
p,106,2,"	","	",278,"	","	",61,114,"	","	",168,"	","	",171,114,"	",78,31,43,68,"	","	","	",15,"	"
q,"	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	",125,"	","	","	","	","	"
r,219,1,54,176,1127,8,63,19,351,"	",59,45,74,84,342,69,"	",87,338,238,74,7,8,"	",355,"	"
s,645,"	",31,"	",768,"	","	1",799,244,"	",47,66,25,55,360,82,5,"	",182,582,150,"	",28,"	","	5","	"
t,238,"	",41,"	",727,11,"	",3197,459,"	","	",275,18,12,990,"	","	",149,153,333,125,"	",65,"	",54,"	"
u,18,30,171,51,159,5,165,"	",79,"	","	",320,49,242,3,207,"	",486,415,587,"	","	","	","	","	",14
v,19,"	","	","	",663,"	","	","	",56,"	","	","	","	","	",62,"	","	","	","	","	","	1","	","	","	","	3","	"
w,573,"	","	",10,313,5,"	",365,344,"	","	",31,"	",139,250,"	","	",30,20,"	","	","	","	","	","	","	"
x,12,"	",13,"	",24,"	","	","	",21,"	","	","	","	","	","	",23,"	","	","	",38,"	","	","	","	","	","	"
y,8,9,"	","	",81,"	","	","	",49,"	","	","	1",4,1,421,55,"	","	",36,34,"	","	","	3","	","	","	"
z,7,"	","	","	",30,"	","	","	",10,"	","	",14,"	","	","	","	","	","	","	","	","	","	","	","	","	2",14
